address,price,beds,baths,area,statusText,latitude,longitude,url
"5812 W Spur Dr, Phoenix, AZ 85083","$1,200,000",5,4.5,4796,House for sale,33.725925,-112.185,https://www.zillow.comhttps://www.zillow.com/homedetails/5812-W-Spur-Dr-Phoenix-AZ-85083/81976710_zpid/
"2117 E Saltsage Dr, Phoenix, AZ 85048","$470,000",3,2.5,1755,House for sale,33.294357,-112.03735,https://www.zillow.comhttps://www.zillow.com/homedetails/2117-E-Saltsage-Dr-Phoenix-AZ-85048/8257200_zpid/
"2608 W Columbine Dr, Phoenix, AZ 85029","$400,000",3,2,1372,House for sale,33.599537,-112.11475,https://www.zillow.comhttps://www.zillow.com/homedetails/2608-W-Columbine-Dr-Phoenix-AZ-85029/7748406_zpid/
"2024 W Darrel Rd, Phoenix, AZ 85041","$440,000",4,2,2519,House for sale,33.384373,-112.102745,https://www.zillow.comhttps://www.zillow.com/homedetails/2024-W-Darrel-Rd-Phoenix-AZ-85041/67781883_zpid/
"7035 N 11th Pl, Phoenix, AZ 85020","$475,000",3,2,1283,House for sale,33.53954,-112.057816,https://www.zillow.comhttps://www.zillow.com/homedetails/7035-N-11th-Pl-Phoenix-AZ-85020/7792060_zpid/
"6352 W Hackamore Dr, Phoenix, AZ 85083","$550,000",3,2,2152,House for sale,33.714115,-112.19743,https://www.zillow.comhttps://www.zillow.com/homedetails/6352-W-Hackamore-Dr-Phoenix-AZ-85083/7925549_zpid/
"8727 N 35th Dr, Phoenix, AZ 85051","$300,000",4,2,1723,House for sale,33.564884,-112.134964,https://www.zillow.comhttps://www.zillow.com/homedetails/8727-N-35th-Dr-Phoenix-AZ-85051/7754008_zpid/
"3217 E Friess Dr, Phoenix, AZ 85032","$399,950",3,2,1936,House for sale,33.613735,-112.012375,https://www.zillow.comhttps://www.zillow.com/homedetails/3217-E-Friess-Dr-Phoenix-AZ-85032/8011819_zpid/
"4345 E Annette Dr, Phoenix, AZ 85032","$670,000",4,2,2065,House for sale,33.653675,-111.98754,https://www.zillow.comhttps://www.zillow.com/homedetails/4345-E-Annette-Dr-Phoenix-AZ-85032/8017894_zpid/
"7438 S 75th Dr, Laveen, AZ 85339","$274,990",2,2.5,1402,New construction,33.378494,-112.22041,https://www.zillow.comhttps://www.zillow.com/homedetails/7438-S-75th-Dr-Laveen-AZ-85339/443455765_zpid/
"19602 N 32nd St LOT 92, Phoenix, AZ 85050","$25,000",2,2,792,Home for sale,33.664574,-112.016594,https://www.zillow.comhttps://www.zillow.com/homedetails/19602-N-32nd-St-LOT-92-Phoenix-AZ-85050/2127466151_zpid/
"735 W Kelton Ln, Phoenix, AZ 85023","$749,000",4,2.5,3019,House for sale,33.637302,-112.08416,https://www.zillow.comhttps://www.zillow.com/homedetails/735-W-Kelton-Ln-Phoenix-AZ-85023/7960784_zpid/
"810 E Potter Dr, Phoenix, AZ 85024","$410,000",3,2,1000,House for sale,33.67487,-112.062584,https://www.zillow.comhttps://www.zillow.com/homedetails/810-E-Potter-Dr-Phoenix-AZ-85024/7991052_zpid/
"10401 N Cave Creek Rd LOT 197, Phoenix, AZ 85020","$35,000",2,2,786,For sale by owner,33.58198,-112.04824,https://www.zillow.comhttps://www.zillow.com/homedetails/10401-N-Cave-Creek-Rd-LOT-197-Phoenix-AZ-85020/452773645_zpid/
